no : FIFO : LRU : OPT : CLOCK
2 : 823.219 : 901.114 : 822.906 : 823.219
3 : 738.912 : 889.167 : 738.06 : 738.205
4 : 659.225 : 873.345 : 654.138 : 656.991
5 : 581.985 : 852.552 : 571.897 : 577.79
6 : 509.286 : 826.422 : 492.178 : 501.965
7 : 440.683 : 792.523 : 416.837 : 429.226
8 : 376.896 : 751.802 : 345.706 : 360.242
9 : 317.583 : 702.957 : 278.896 : 296.074
10 : 264.023 : 647.598 : 216.545 : 237.471
11 : 215.717 : 584.537 : 163.617 : 185.189
12 : 173.953 : 517.224 : 121.233 : 140.142
13 : 137.545 : 447.322 : 86.204 : 103.996
14 : 106.785 : 375.259 : 61.89 : 75.821
15 : 81.947 : 303.307 : 45.352 : 55.5
16 : 62.743 : 232.441 : 34.421 : 41.67
17 : 47.981 : 166.052 : 27.334 : 32.521
18 : 37.501 : 106.773 : 23.451 : 27.193
19 : 30.249 : 61.605 : 21.389 : 24.005
20 : 24.685 : 34.663 : 20.544 : 21.816
